,address,lat,lng,parsedAddress,parsedlat,parsedlng,level,coord_diff,correct
0,香港仔香港仔大道166至168號,22.24846842,114.1557598,"[('Region', '香港'), ['?', '仔'], ('StreetName1', '香港仔大道'), ('BuildingNoFrom', '166'), ['?', '至'], ('BuildingNoTo', '168'), ['?', '號']]",22.2486,114.1558,streetNo,0.00013758392493475117,Y
1,銅鑼灣謝斐道488號,22.281008,114.1828233,"[['?', '銅鑼灣'], ('StreetName1', '謝斐道'), ('BuildingNoFrom', '488'), ['?', '號']]",22.2809,114.1829,streetNo,0.0001324646745417082,Y
2,中環德輔道中24號地下大堂,22.28259643,114.15715719999999,"[['?', '中環'], ('StreetName1', '德輔道中'), ('BuildingNoFrom', '24'), ['?', '號']]",22.2825,114.157,streetNo,0.00018441958924497734,Y
3,中環德輔道中24號地下大堂,22.28257906,114.157168,"[['?', '中環'], ('StreetName1', '德輔道中'), ('BuildingNoFrom', '24'), ['?', '號']]",22.2825,114.157,streetNo,0.00018567305566740552,Y
4,北角英皇道376號,22.29052593,114.19793490000002,"[['?', '北角'], ('StreetName1', '英皇道'), ('BuildingNoFrom', '376'), ['?', '號']]",22.2904,114.1979,streetNo,0.00013067660426042266,Y
5,筲箕灣筲箕灣道203至205號,22.28043219,114.2246068,"[['?', '筲箕灣'], ('StreetName1', '筲箕灣道'), ('BuildingNoFrom', '203'), ['?', '至'], ('BuildingNoTo', '205'), ['?', '號']]",22.2805,114.2246,streetNo,6.815009978154872e-05,Y
6,灣仔軒尼詩道265至267號,22.278061899999997,114.1767642,"[['?', '灣仔'], ('StreetName1', '軒尼詩道'), ('BuildingNoFrom', '265'), ['?', '至'], ('BuildingNoTo', '267'), ['?', '號']]",22.2781,114.1766,streetNo,0.0001685623030224029,Y
7,西環德輔道西347至349號,22.2869968,114.13695220000001,"[['?', '西環'], ('StreetName1', '德輔道西'), ('BuildingNoFrom', '347'), ['?', '至'], ('BuildingNoTo', '349'), ['?', '號']]",22.2871,114.1367,streetNo,0.0002724978532069973,Y
8,西環德輔道西81至85號,22.28783566,114.14552450000001,"[['?', '西環'], ('StreetName1', '德輔道西'), ('BuildingNoFrom', '81'), ['?', '至85號']]",22.2879,114.1455,streetNo,6.884682709210491e-05,Y
9,佐敦吳松街120號地下,22.30504603,114.17021159999999,"[['?', '佐敦'], ('StreetName1', '吳松街'), ('BuildingNoFrom', '120'), ['?', '號']]",22.305,114.1702,streetNo,4.746915735349455e-05,Y
10,九龍灣宏開道8號其士商業中心地下8號舖,22.32144045,114.21112600000001,"[('Region', '九龍'), ['?', '灣'], ('StreetName1', '宏開道'), ('BuildingNoFrom', '8'), ['?', '號'], ('BuildingName', '其士商業中心')]",22.3213,114.2112,streetNo,0.00015875201573422283,Y
11,九龍城衙前圍道31至33號,22.32884671,114.1891614,"[('Region', '九龍'), ['?', '城'], ('StreetName1', '衙前圍道'), ('BuildingNoFrom', '31'), ['?', '至33號']]",22.3287,114.1891,streetNo,0.00015904019649330133,Y
12,觀塘物華街31至33號,22.31508837,114.2247221,"[['?', '觀塘'], ('StreetName1', '物華街'), ['?', '31至'], ('BuildingNoFrom', '33'), ['?', '號']]",22.3151,114.2247,streetNo,2.497332376322826e-05,Y
13,觀塘巧明街114號,22.31129931,114.22442439999999,"[['?', '觀塘'], ('StreetName1', '巧明街'), ('BuildingNoFrom', '114'), ['?', '號']]",22.3112,114.2241,streetNo,0.00033926071993162606,Y
14,德田邨德田廣場207號,22.31020005,114.23815729999998,"[('EstateName1', '德田邨'), ('BuildingName', '德田廣場'), ['?', '207號']]",22.3102,114.2379,building,0.00025730000484516856,Y
15,旺角彌敦道591號,22.3159345,114.16992720000002,"[['?', '旺角'], ('StreetName1', '彌敦道'), ('BuildingNoFrom', '591'), ['?', '號']]",22.3159,114.1697,streetNo,0.00022980446036904615,Y
16,牛頭角順利邨利溢樓,22.33114914,114.226326,"[['?', '牛頭角'], ('EstateName1', '順利邨'), ('BuildingName', '利溢樓')]",22.3299,114.2269,building,0.0013747096928465007,N
17,新蒲崗衍慶街55至57號,22.33475158,114.194397,"[['?', '新蒲崗'], ('StreetName1', '衍慶街'), ['?', '55至'], ('BuildingNoFrom', '57'), ['?', '號']]",22.3346,114.1945,streetNo,0.00018326346172182023,Y
18,深水埗大埔道144至148號,22.33027581,114.1661212,"[['?', '深水埗'], ('StreetName1', '大埔道'), ('BuildingNoFrom', '144'), ['?', '至'], ('BuildingNoTo', '148'), ['?', '號']]",22.3304,114.1662,streetNo,0.0001470802369450776,Y
19,深水埗青山道285至287號,22.337467,114.15736100000001,"[['?', '深水埗'], ('StreetName1', '青山道'), ('BuildingNoFrom', '285'), ['?', '至'], ('BuildingNoTo', '287'), ['?', '號']]",22.3374,114.1573,streetNo,9.060905032316312e-05,Y
20,大角咀荔枝角道139號,22.32545005,114.16430530000001,"[['?', '大角咀'], ('StreetName1', '荔枝角道'), ('BuildingNoFrom', '139'), ['?', '號']]",22.3253,114.1642,streetNo,0.00018331146310002439,Y
21,土瓜灣譚公道34至34A號,22.32176301,114.18815020000001,"[['?', '土瓜灣'], ('StreetName1', '譚公道'), ('BuildingNoFrom', '34'), ['?', '至'], ('BuildingNoTo', '34A'), ['?', '號']]",22.3218,114.1882,streetNo,6.203466851993792e-05,Y
22,尖沙咀加連威老道16號,22.29960893,114.17303590000002,"[['?', '尖沙咀'], ('StreetName1', '加連威老道'), ('BuildingNoFrom', '16'), ['?', '號']]",22.2995,114.173,streetNo,0.00011469330800768466,Y
23,黃大仙雙鳳街60至64號,22.34547896,114.19765590000002,"[['?', '黃大仙'], ('StreetName1', '雙鳳街'), ('BuildingNoFrom', '60'), ['?', '至'], ('BuildingNoTo', '64'), ['?', '號']]",22.3453,114.1977,streetNo,0.0001843135686765229,Y
24,油塘鯉魚門廣場地下下層LG1號舖,22.296931,114.23916100000001,"[['?', '油塘'], ('BuildingName', '鯉魚門廣場')]",22.2972,114.2391,building,0.0002758296575818077,Y
25,粉嶺聯和墟和隆街2號,22.49882423,114.14195179999999,"[('StreetName1', '粉嶺'), ['?', '聯和墟'], ('StreetName2', '和隆街'), ('BuildingNoFrom', '2'), ['?', '號']]",22.4987,114.1421,streetNo,0.00019338131477439325,Y
26,葵涌祖堯邨敬祖路C座地下,22.34608428,114.1284227,"[('StreetName1', '葵涌'), ('EstateName1', '祖堯邨'), ('StreetName2', '敬祖路'), ['?', 'C座']]",22.3457,114.1287,street,0.0004738843829409372,Y
27,馬鞍山恆安邨恆安商場3樓,22.41676626,114.22778249999999,"[('StreetName1', '馬鞍山'), ['?', '恆安邨恆安商場']]",22.4168,114.2277,street,8.913269657318051e-05,Y
